Buffer Size,Total commands,Sliding Window Time,Throughput(cps),I/O,Overall Time,Overall Throughput(cps),Overall I/O
2 MiB,100000000,73.91,1352915.28,832,73.91,1352915.28,832
2 MiB,200000000,77.74,1286358.24,843,151.65,1318797.55,1675
2 MiB,300000000,140.10,713785.81,855,291.75,1028272.87,2530
2 MiB,400000000,79.77,1253557.08,843,371.52,1076645.46,3373
2 MiB,500000000,74.36,1344862.73,833,445.88,1121374.49,4206
2 MiB,600000000,133.80,747377.75,854,579.68,1035049.32,5060
2 MiB,700000000,76.00,1315823.91,844,655.68,1067593.08,5904
2 MiB,800000000,76.02,1315440.10,854,731.70,1093343.19,6758
2 MiB,900000000,136.16,734446.08,855,867.86,1037036.31,7613
2 MiB,1000000000,75.94,1316839.62,843,943.80,1059549.72,8456
4 MiB,100000000,80.44,1243111.05,399,80.44,1243111.05,399
4 MiB,200000000,94.41,1059174.13,433,174.86,1143794.93,832
4 MiB,300000000,92.77,1077974.67,422,267.62,1120979.56,1254
4 MiB,400000000,97.37,1027032.53,421,364.99,1095917.50,1675
4 MiB,500000000,92.63,1079553.01,422,457.62,1092605.03,2097
4 MiB,600000000,211.45,472933.28,433,669.07,896769.53,2530
4 MiB,700000000,96.50,1036250.97,422,765.57,914351.46,2952
4 MiB,800000000,94.10,1062687.62,421,859.67,930588.59,3373
4 MiB,900000000,94.94,1053279.92,422,954.61,942790.92,3795
4 MiB,1000000000,82.13,1217574.28,411,1036.74,964559.19,4206
1 MiB,100000000,59.65,1676408.78,1675,59.65,1676408.78,1675
1 MiB,200000000,90.28,1107611.97,1698,149.94,1333905.59,3373
1 MiB,300000000,89.87,1112673.42,1687,239.81,1250994.12,5060
1 MiB,400000000,62.73,1594035.17,1698,302.54,1322125.44,6758
1 MiB,500000000,92.21,1084471.13,1698,394.75,1266611.61,8456
1 MiB,600000000,91.78,1089618.89,1687,486.53,1233225.03,10143
1 MiB,700000000,93.68,1067507.79,1698,580.21,1206469.42,11841
1 MiB,800000000,62.34,1604180.01,1687,642.54,1245053.86,13528
1 MiB,900000000,94.28,1060717.84,1698,736.82,1221468.09,15226
1 MiB,1000000000,92.69,1078886.49,1698,829.51,1205536.18,16924
0.5 MiB,100000000,69.77,1433364.48,3373,69.77,1433364.48,3373
0.5 MiB,200000000,69.28,1443335.06,3385,139.05,1438332.48,6758
0.5 MiB,300000000,83.59,1196246.97,3385,222.64,1347438.39,10143
0.5 MiB,400000000,69.25,1443995.20,3385,291.90,1370346.41,13528
0.5 MiB,500000000,85.28,1172662.58,3396,377.17,1325651.56,16924
0.5 MiB,600000000,85.11,1175009.68,3396,462.28,1297918.33,20320
0.5 MiB,700000000,68.94,1450560.24,3385,531.22,1317727.47,23705
0.5 MiB,800000000,235.51,424618.03,3395,766.72,1043401.10,27100
0.5 MiB,900000000,71.26,1403329.26,3396,837.98,1074008.14,30496
0.5 MiB,1000000000,83.46,1198237.27,3385,921.44,1085259.74,33881
